model,beam blue-1,beam blue-2,beam blue-3,beam blue-4,beam rouge-l,beam dist-1,beam dist-2,greedy blue-1,greedy blue-2,greedy blue-3,greedy blue-4,greedy rouge-l,greedy dist-1,greedy dist-2
seek,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.06359170628481658,0.019706498907986165,0.005041187381341853,0.0022439084447819597,0.12397930848592403,0.007457222659110014,0.03010562266776295
cedual,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12224577057111512,0.02281630032744768,0.005652592102145658,0.001982070729582681,0.17023258510029057,0.007483418846201977,0.06638185112078522
cem_base,0.09296998272613735,0.03517319056460434,0.014895827163721322,0.008369067225828706,0.16808069038427179,0.005152596115735236,0.019394526243841314,0.11063703441805968,0.04022817446750492,0.014846716019234086,0.007763326084356481,0.17390111549798543,0.006763026041774057,0.030501341226528537
cem_en_rels,0.09066074712737807,0.03600594567673434,0.015017991652271124,0.008545534621918895,0.16675121172798882,0.004472459067845373,0.015615998059371115,0.10273340395868773,0.03894816819209174,0.012709510192059716,0.0060454277368107824,0.17554532156034783,0.006223747003584702,0.026954445991645117
cem_en_rels_token,0.10046412430921622,0.03792893604599702,0.016147901941658178,0.008687014952636758,0.17314727473420166,0.0051667771655883495,0.018889985968923766,0.11690909907424096,0.04246607463440986,0.016556793483015204,0.008718022976762737,0.17691757127115773,0.006247211066488175,0.027900842795029777
cem_en_rels_token_senti,0.10979949574502149,0.03979923117100983,0.017973567232164967,0.00995978870788977,0.17675200178287728,0.004283912495107207,0.017112273207139525,0.11958378594461357,0.04349305806792924,0.016290039102926982,0.008202478052365366,0.180821402322524,0.005944822809650236,0.026453780793185368
cem_en_rels_token_senti_loss,0.10395793051975596,0.04017510940479775,0.015655875624197145,0.008213898561036265,0.1768635741793958,0.005422847667279165,0.020167128089202714,0.12484479958836323,0.04586912631582454,0.015091017953354813,0.007230915968139768,0.18595083016794517,0.006775607811877242,0.03259716076327013
cem_en_token,0.09918204654815616,0.03846444440143029,0.017498862965541154,0.009712621083751889,0.16760276687415912,0.00499336467306957,0.017778798081828386,0.11549309244186537,0.04166096302364132,0.015823894160881247,0.008438172576908213,0.17036925556014876,0.006477950054621769,0.027726865862495204
empdg,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12320724617396983,0.040678114112341096,0.015038806255655015,0.0075521000435424855,0.16674402734854193,0.0049031870715965375,0.0209666215771579
mime,0.12931461845100306,0.04372355562538272,0.017302593895749757,0.008847090408808612,0.18110353534110815,0.0029081177520071367,0.009745053647012501,0.12909656124629246,0.04138455683499488,0.01268496754315502,0.005551112299212583,0.17139015564524793,0.003022135097606796,0.00988205861329521
moel,0.13312860018817965,0.04430995325823787,0.017507595795014704,0.010087337949452428,0.1879970519897678,0.004282253653199969,0.01922356546909586,0.13204859633541208,0.04434680551751675,0.01600360452527659,0.008254958496250213,0.17870616564358296,0.005240646395048392,0.027874399190488237
cem_en_rels_token_senti_loss0,0.10965961943208262,0.04192856634599425,0.017139221835108024,0.009304150615609562,0.1783801762132313,0.004956629491945477,0.019157180332603305,0.12456197654928396,0.04554491780421681,0.014860016059227009,0.006940767464664628,0.18122519965827508,0.006197625698324023,0.030100913022585295
cem_en_rels_token_senti_loss1,0.10060636339922689,0.04016320089751344,0.0163857129975383,0.00905437043809867,0.17337365496637783,0.005407421219466716,0.0199208478312837,0.12028563977344259,0.042977940760739894,0.014425307359171276,0.0070496900259916185,0.17587354882001055,0.00617830367627134,0.0293812375249501
cem_en_rels_token_senti_loss2,0.11290494127151932,0.04362531297689974,0.01612697269044098,0.008280685546572299,0.18297500439756204,0.0043784707390004275,0.01575845061951161,0.1277645056986183,0.04676655467748546,0.01631843127330793,0.00783892720328302,0.18553259754824047,0.005982001058761249,0.027696197607702033
cem_en_rels_token_senti_loss3,0.08724916255100634,0.03365508678981167,0.013391083436784633,0.0072637099592688945,0.16367829496521924,0.005021334165886148,0.017178505771375186,0.1087483852683821,0.039121217548887026,0.015459383325945906,0.007848751180306576,0.1706641229837245,0.0065896208464357965,0.02950393982808023
cem_en_rels_token_senti_loss4,0.10928489452350924,0.041037696304414686,0.014313236381852012,0.007302184359327701,0.17786280051379005,0.004487611663576606,0.016607832452794426,0.12501165219313323,0.04498430834849181,0.015166544297280496,0.006799138134719117,0.176048872346931,0.005599642722182143,0.026452429054245417
cem_en_rels_token_senti_loss5,0.11157277639070379,0.042442252999508934,0.01522872331660658,0.007558945115880122,0.17818327652346957,0.00391989774179804,0.014465635120546959,0.12429217862152829,0.045074915466464194,0.01522722070033464,0.007354986204764125,0.18207997042757612,0.005304419750422555,0.024007625250699976
cem_en_rels_token_senti_loss6,0.11942067930345625,0.045077723638646074,0.017603740102751248,0.009844591726903286,0.18886389247674787,0.004377254488712358,0.015422648613095643,0.12774612297970048,0.04618611675709447,0.016097664491316277,0.008150914780255314,0.18241511724784915,0.005425017277125087,0.024646080760095012
cem_en_rels_token_senti_loss7,0.11755617796795147,0.04467537760334837,0.017374583604366584,0.00842506341134598,0.18057232637862844,0.003896333904008501,0.013563934857995699,0.12286261994343564,0.04410331235352703,0.015167882602849857,0.007715238589509814,0.17205832236706042,0.005395273880217913,0.023537582960333384
cem_en_rels_token_senti_loss8,0.12399340022306475,0.045806013681672676,0.017537549422319304,0.008720703975866644,0.18382662240575212,0.0035418671799807505,0.013191990577149587,0.12718436651312903,0.04469684173537517,0.015746921362421926,0.007623407331732589,0.1772672371846285,0.005353449324735369,0.023355904969585676
